0,1,2,3,4,5,6
102.3,102.6,167.28024,85.60289,77.093216,54.107407,54.2
104.7,104.4,167.28024,85.60289,77.093216,54.107407,49.7
104.4,104.4,167.28024,85.60289,77.093216,54.107407,53.3
104.3,104.4,109.8487,20.591106,90.020424,51.627377,64.7
100.9,101.3,51.552353,144.04845,298.0679,284.91574,68.9
105.2,105.5,51.552353,144.04845,298.0679,284.91574,71.2
104.2,104.2,167.28024,85.60289,77.093216,54.107407,53.1
105.2,105.5,167.28024,85.60289,77.093216,54.107407,53.4
104.3,104.3,167.28024,85.60289,77.093216,54.107407,53.8
104.0,104.0,160.26392,65.765686,96.278755,94.10327,49.4
102.9,103.0,109.8487,20.591106,90.020424,51.627377,61.8
102.2,102.5,57.277935,146.07857,245.04926,265.5475,65.8
104.3,103.2,6.8949575,96.643234,352.34933,281.7346,94.6
104.6,104.5,167.28024,85.60289,77.093216,54.107407,52.2
102.3,102.6,6.8949575,96.643234,352.34933,281.7346,95.0
104.7,104.3,51.552353,144.04845,298.0679,284.91574,67.2
104.8,104.9,57.277935,146.07857,245.04926,265.5475,61.4
105.5,105.7,51.552353,144.04845,298.0679,284.91574,70.3
105.0,105.0,51.552353,144.04845,298.0679,284.91574,66.3
103.8,101.7,57.277935,146.07857,245.04926,265.5475,54.5
104.7,104.3,51.552353,144.04845,298.0679,284.91574,66.3
102.7,102.8,109.8487,20.591106,90.020424,51.627377,68.0
104.2,104.2,57.277935,146.07857,245.04926,265.5475,64.3
104.7,104.9,160.26392,65.765686,96.278755,94.10327,52.6
101.4,101.5,109.8487,20.591106,90.020424,51.627377,57.1
103.5,103.7,160.26392,65.765686,96.278755,94.10327,54.6
105.3,105.3,109.8487,20.591106,90.020424,51.627377,64.3
101.0,101.3,6.8949575,96.643234,352.34933,281.7346,92.2
103.1,103.2,167.28024,85.60289,77.093216,54.107407,51.9
103.9,103.9,57.277935,146.07857,245.04926,265.5475,63.9
104.4,104.1,51.552353,144.04845,298.0679,284.91574,68.3
105.2,104.6,109.8487,20.591106,90.020424,51.627377,58.0
105.1,105.1,109.8487,20.591106,90.020424,51.627377,62.3
103.0,103.4,160.26392,65.765686,96.278755,94.10327,56.0
105.1,105.2,6.8949575,96.643234,352.34933,281.7346,96.8
104.7,104.3,160.26392,65.765686,96.278755,94.10327,49.8
103.0,103.3,160.26392,65.765686,96.278755,94.10327,51.4
104.4,104.1,57.277935,146.07857,245.04926,265.5475,64.3
103.0,103.3,57.277935,146.07857,245.04926,265.5475,63.8
105.3,105.1,109.8487,20.591106,90.020424,51.627377,62.4
104.8,103.4,109.8487,20.591106,90.020424,51.627377,61.0
104.9,105.0,51.552353,144.04845,298.0679,284.91574,69.7
103.4,103.5,6.8949575,96.643234,352.34933,281.7346,94.4
105.5,105.4,167.28024,85.60289,77.093216,54.107407,50.9
100.9,101.3,57.277935,146.07857,245.04926,265.5475,67.0
103.4,103.5,160.26392,65.765686,96.278755,94.10327,51.6
104.8,103.8,167.28024,85.60289,77.093216,54.107407,47.7
104.7,104.8,109.8487,20.591106,90.020424,51.627377,59.4
104.4,104.7,109.8487,20.591106,90.020424,51.627377,62.4
103.9,104.4,160.26392,65.765686,96.278755,94.10327,54.0
104.9,104.5,160.26392,65.765686,96.278755,94.10327,47.5
104.1,103.0,160.26392,65.765686,96.278755,94.10327,51.9
104.5,102.5,109.8487,20.591106,90.020424,51.627377,58.4
105.2,104.6,6.8949575,96.643234,352.34933,281.7346,92.6
104.3,104.3,167.28024,85.60289,77.093216,54.107407,51.3
104.4,102.7,160.26392,65.765686,96.278755,94.10327,44.7
104.4,102.7,167.28024,85.60289,77.093216,54.107407,46.6
104.7,104.3,109.8487,20.591106,90.020424,51.627377,60.4
104.9,104.9,57.277935,146.07857,245.04926,265.5475,63.2
104.9,103.9,57.277935,146.07857,245.04926,265.5475,60.2
104.8,104.5,109.8487,20.591106,90.020424,51.627377,61.2
105.4,105.4,167.28024,85.60289,77.093216,54.107407,54.4
103.9,103.9,6.8949575,96.643234,352.34933,281.7346,92.6
104.4,104.6,6.8949575,96.643234,352.34933,281.7346,98.9
104.9,105.0,57.277935,146.07857,245.04926,265.5475,65.3
104.4,102.7,51.552353,144.04845,298.0679,284.91574,63.9
104.4,104.1,109.8487,20.591106,90.020424,51.627377,63.7
104.9,104.9,57.277935,146.07857,245.04926,265.5475,63.4
102.8,102.6,109.8487,20.591106,90.020424,51.627377,68.5
104.6,104.0,6.8949575,96.643234,352.34933,281.7346,92.3
103.5,103.6,51.552353,144.04845,298.0679,284.91574,71.9
104.8,104.9,57.277935,146.07857,245.04926,265.5475,63.0
105.4,105.5,109.8487,20.591106,90.020424,51.627377,64.8
103.0,103.1,109.8487,20.591106,90.020424,51.627377,64.0
105.0,105.2,6.8949575,96.643234,352.34933,281.7346,97.8
104.3,104.3,109.8487,20.591106,90.020424,51.627377,61.6
104.4,104.4,6.8949575,96.643234,352.34933,281.7346,95.1
104.4,104.4,167.28024,85.60289,77.093216,54.107407,50.4
103.0,103.2,160.26392,65.765686,96.278755,94.10327,55.7
105.1,104.8,160.26392,65.765686,96.278755,94.10327,51.3
104.7,104.5,6.8949575,96.643234,352.34933,281.7346,99.2
105.4,105.5,57.277935,146.07857,245.04926,265.5475,65.8
104.9,104.8,109.8487,20.591106,90.020424,51.627377,60.8
103.0,103.1,51.552353,144.04845,298.0679,284.91574,67.9
103.8,104.3,6.8949575,96.643234,352.34933,281.7346,98.9
105.3,105.3,51.552353,144.04845,298.0679,284.91574,68.6
105.0,105.0,6.8949575,96.643234,352.34933,281.7346,94.6
104.3,103.2,109.8487,20.591106,90.020424,51.627377,63.0
105.4,105.5,160.26392,65.765686,96.278755,94.10327,54.4
